Player,Team,Goals
Macaulay Langstaff,Notts County,28
Paul Mullin,Wrexham,24
Matt Smith,Salford City,24
Danilo Orsi-Dadomo,Crawley Town,23
Davis Keillor-Dunn,Mansfield Town,22
Will Evans,Newport County,21
Joe Ironside,Doncaster Rovers,20
Isaac Olaofe,Stockport County,20
Andy Cook,Bradford City,17
Paddy Madden,Stockport County,17
Jack Nolan,Accrington Stanley,17
Max Dean,Milton Keynes Dons,16
Elliott Lee,Wrexham,16
Elliott Nevitt,Crewe Alexandra,16
George Thomson,Harrogate Town,16
Jake Young,Swindon Town,16
Dan Crowley,Notts County,15
Daniel Kemp,Swindon Town,14
Ali Al-Hamadi,AFC Wimbledon,13
Omar Bugiel,AFC Wimbledon,13
Alex Gilbey,Milton Keynes Dons,13
Isaac Hutchinson,Walsall,13
Klaidi Lolos,Crawley Town,13
Michael Mellon,Morecambe,13
Danny Rose,Grimsby Town,13
Lucas Akins,Mansfield Town,12
Robert Apter,Tranmere Rovers,12
Charlie Austin,Swindon Town,12
C. Jennings,Tranmere Rovers,12
David McGoldrick,Notts County,12
George Maris,Mansfield Town,11
H. Smith,Sutton United,11
Joseph Taylor,Colchester United,11
Freddie Draper,Walsall,10
Luke Molyneux,Doncaster Rovers,10
Jack Muldoon,Harrogate Town,10
Hakeeb Adelakun,Doncaster Rovers,9
Courtney Baker-Richardson,Crewe Alexandra,9
Louie Barry,Stockport County,9
Mickey Demetriou,Crewe Alexandra,9
Abo Eisa,Grimsby Town,9
Callum Hendry,Salford City,9
Charlie Lakin,Sutton United,9
Christopher Long,Crewe Alexandra,9
Kieron Morris,Tranmere Rovers,9
Kian Spence,Barrow,9
Mathew Stevens,Forest Green Rovers,9
Will Swan,Mansfield Town,9
Emile Acauah,Barrow,8
Steven Fletcher,Wrexham,8
Ellis Harrison,Milton Keynes Dons,8
Tommy Leigh,Accrington Stanley,8
Cameron McGeehan,Colchester United,8
Aaron Nemane,Notts County,8
Abraham Odoh,Harrogate Town,8
Antoni Sarcevic,Stockport County,8
Jordan Slew,Morecambe,8
Jamie Walker,Bradford City,8
Ben Whitfield,Barrow,8
Kyle Wootton,Stockport County,8
Omar Bogle,Newport County,7
Adam Campbell,Crawley Town,7
Matty Daly,Harrogate Town,7
Mo Faal,Doncaster Rovers,7
Paul Glatzel,Swindon Town,7
John Joshua Mckiernan,Morecambe,7
Connor Mahoney,Gillingham,7
Bryn Morris,Newport County,7
Ollie Palmer,Wrexham,7
Cole Stockton,Barrow,7
James Tilley,AFC Wimbledon,7
Joseph Tomlinson,Milton Keynes Dons,7
R. Watson,Salford City,7
Shaun Whalley,Accrington Stanley,7
Donovan Wilson,Grimsby Town,7
Harrison Biggins,Doncaster Rovers,6
Charlie Brown,Morecambe,6
Ronan Darcy,Crawley Town,6
Mo Faal,Walsall,6
Josh Hawkes,Tranmere Rovers,6
Liam Kelly,Crawley Town,6
Connor Lemonheigh-Evans,Stockport County,6
Conor Masterson,Gillingham,6
Conor McAleny,Salford City,6
Kyle McAllister,Forest Green Rovers,6
Sebastian Palmer-Houlden,Newport County,6
Jack Payne,Milton Keynes Dons,6
Joe Pritchard,Accrington Stanley,6
Josh Andrews,Accrington Stanley,5
Harry Beautyman,Sutton United,5
Hiram Boateng,Mansfield Town,5
Andy Cannon,Wrexham,5
Baily Cargill,Mansfield Town,5
Harry Charsley,Newport County,5
Ronan Curtis,AFC Wimbledon,5
Timothee Dieng,Gillingham,5
Mohamed Eisa,Milton Keynes Dons,5
Regan Hendry,Tranmere Rovers,5
Rushian Hepburn-Murphy,Swindon Town,5
Alassana Jatta,Notts County,5
